"ligand","receptor"
"Adm","Ramp1"
"Angpt2","Itgb1"
"Angptl2","Itgb1"
"Angptl4","Itgb1"
"Angptl4","Sdc1"
"Angptl4","Sdc4"
"Col15a1","Itgb1"
"Col3a1","Itgb1"
"Col6a3","Itgb1"
"Fgf1","Fgfr2"
"Fgf1","Nrp1"
"Fgf7","Fgfr2"
"Fgf7","Nrp1"
"Hbegf","Cd9"
"Ifitm6","Cd81"
"Lpl","Lrp2"
"Lpl","Sdc1"
"Mpdz","F11r"
"Ncam1","Fgfr2"
"Npnt","Itgb1"
"Pf4","Fgfr2"
"Rspo3","Sdc4"
"S100b","Ager"
"S100b","Alcam"
"Scgb1a1","Lrp2"
"Sema3c","Nrp1"
"Tcn2","Lrp2"
"Tgfb1","App"
"Tgfb1","Itgb1"
"Tgm2","Itga9"
"Tgm2","Itgb1"
"Tgm2","Sdc4"
"Timp1","Cd63"
"Timp1","Fgfr2"
"Vegfa","Nrp1"
